Table 5
X-ray Identifications for Galactic Nuclei of Nearby Galaxies

Group	Galaxy	N6^a	N12^b	N_f^c	XID	pos^d	ext^e	V/D^f	L_Xmax^g	L_Xmin^h	Cnt_max^i	sigma_max^j	SQH^k	
No.									(erg s^-1)	(erg s^-1)				
1	NGC598	1	1	8	CXOJ013350.916+303936.72	1	1	13/13	1.74e+39	1.10e+38	95245.22	765	h13	
2	NGC5457	2	2	7	CXOJ140312.545+542056.26	1	1	24/24	3.19e+38	4.41e+37	385.96	70.8	q1 s1 d9 h13	
2	NGC5477	 ... 	 ... 	3	no-XID	 ... 	 ... 	1/0	4.84e+36	 ... 	1	-0.22	 ... 	
3	PGC3589	 ... 	1	2	no-XID	 ... 	 ... 	21/0	1.06e+33	 ... 	1	-0.94	 ... 	
4	NGC3031	1	5	9	CXOJ095533.149+690355.15	1	1	17/17	3.58e+39	1.20e+39	15202.62	400	h17	
4	PGC28757	 ... 	 ... 	3	no-XID	 ... 	 ... 	2/0	2.78e+36	 ... 	1	-0.53	 ... 	
5	NGC5204	 ... 	 ... 	4	no-XID	 ... 	 ... 	13/0	4.02e+35	 ... 	1	-0.67	 ... 	
6	NGC1399	1	2	6	CXOJ033829.002-352701.55	1	1	5/5	7.16e+40	7.40e+39	9456.67	162	q2 d2 h1	
6	NGC1389	1	1	4	CXOJ033711.770-354443.94	1	2	1/1	4.23e+38	4.23e+38	25.08	9.5	d1	
6	NGC1396	 ... 	 ... 	7	no-XID	 ... 	 ... 	5/0	4.30e+36	 ... 	2.2	-0.51	 ... 	
6	NGC1404	1	3	4	CXOJ033851.929-353539.34	1	1	6/6	6.98e+40	3.92e+40	6305.12	83.5	q5 h1	
6	PGC13449	 ... 	 ... 	 ... 	no-XID	 ... 	 ... 	3/0	2.48e+36	 ... 	1	-2.22	 ... 	
6	PGC13452	 ... 	 ... 	 ... 	no-XID	 ... 	 ... 	2/0	3.35e+36	 ... 	1	-0.90	 ... 	
7	NGC5128	1	2	4	CXOJ132527.650-430108.33	1	1	10/10	2.74e+40	4.76e+39	66782.37	987	h10	
8	NGC3034	3	5	7	no-XID	 ... 	 ... 	9/0	4.41e+35	 ... 	1	-0.18	 ... 	
9	NGC4278	3	15	9	CXOJ122006.826+291650.81	1	1	7/7	5.89e+40	1.68e+40	15983.44	744	h7	
9	NGC4283	1	2	 ... 	CXOJ122020.842+291839.60	1	1	7/6	6.23e+38	1.47e+38	199.92	30.9	d1 h5	
9	NGC4286	 ... 	 ... 	2	no-XID	 ... 	 ... 	1/0	1.18e+36	 ... 	1	-0.12	 ... 	
10	NGC4038	1	6	8	no-XID	 ... 	 ... 	7/0	9.52e+36	 ... 	1	-1.45	 ... 	
10	NGC4039	3	10	8	no-XID	 ... 	 ... 	7/0	7.21e+37	 ... 	3.8	-4.98	 ... 	
11	NGC4696	1	1	5	CXOJ124849.037-411844.46	1	2	7/7	2.553e+41	1.07e+40	8845.25	226	q5 h2	
12	NGC821	8	11	2	CXOJ020821.120+105941.82	1	2	7/5	1.2e+39	6.90e+38	58.66	15.3	d3 h2	
13	NGC1637	1	2	4	CXOJ044128.164-025128.73	1	1	7/7	4.91e+38	3.23e+38	237.98	46.5	q5 s1 h1	
14	NGC1365	4	8	7	CXOJ033336.379-360825.44	1	2	7/7	6.13e+40	2.20e+40	3132.35	220	h7	
15	NGC1313	 ... 	 ... 	5	no-XID	 ... 	 ... 	5/0	7.38e+35	 ... 	1	-0.51	 ... 	
16	NGC3384	1	3	4	no-XID	 ... 	 ... 	1/0	1.55e+37	 ... 	1	-0.31	 ... 	
16	NGC3379	8	14	5	CXOJ104749.574+123453.87	1	2	5/5	3.83e+38	3.81e+37	216.42	29.1	q1 d2 h2	
17	NGC4365	3	12	6	CXOJ122428.284+071903.79	1	3	6/6	4.84e+39	7.79e+38	286.72	51.3	h6	
17	NGC4370	 ... 	 ... 	 ... 	no-XID	 ... 	 ... 	2/0	4.06e+37	 ... 	2.4	-1.70	 ... 	
18	NGC2146	2	10	6	no-XID	3	4	6/0	2.85e+38	 ... 	7.9	-2.28	 ... 	
19	NGC2403	 ... 	1	5	no-XID	 ... 	 ... 	4/0	2.14e+35	 ... 	1	-0.55	 ... 	
20	NGC6946	3	5	5	CXOJ203452.339+600914.33	1	1	5/1	1.83e+38	1.42e+38	118.22	30.1	h1	
21	NGC720	2	9	 ... 	CXOJ015300.458-134419.32	1	2	5/4	3.62e+39	6.70e+38	217.81	20.8	d1 h3	
22	NGC3877	1	3	1	CXOJ114607.728+472940.34	1	2	5/5	5.48e+38	2.14e+38	59.15	13.0	d4 h1	
23	NGC4395	1	1	7	CXOJ122548.871+333248.84	1	1	4/4	1.55e+39	1.01e+39	3157.00	482	h4	
24	NGC5194	2	7	14	CXOJ132952.730+471140.06	1	2	5/5	5.36e+39	1.78e+39	2035.39	99.6	s3 d2	
24	NGC5195	1	1	6	CXOJ132959.530+471558.00	1	1	4/4	7.33e+38	2.92e+38	541.08	37.8	d1 h3	
25	NGC4636	3	5	5	CXOJ124249.810+024115.90	1	2	4/3	1.17e+39	6.22e+38	333.87	16.8	s1 d1 h1	
26	NGC253	3	6	10	CXOJ004733.434-251721.95	1	2	4/4	1e+39	2.29e+38	6934.36	156	d1 h3	
27	NGC4374	4	5	10	CXOJ122503.739+125313.16	1	2	4/4	2.34e+40	1.12e+40	3046.89	134	d1 h3	
29	NGC3628	1	4	3	no-XID	 ... 	 ... 	2/0	1.91e+36	 ... 	1	-0.37	 ... 	
30	NGC628	1	2	7	CXOJ013641.741+154701.21	1	1	4/4	2.09e+38	1.27e+38	101.62	31.1	d2 h2	
31	PGC50779	3	6	6	CXOJ141309.955-652021.12	1	2	4/4	1.37e+40	8.20e+39	5391.35	296	h4	
32	NGC5253	1	4	16	CXOJ133956.030-313824.40	4	3	3/3	2.19e+37	1.43e+37	121.55	17.8	q2 h1	
33	NGC3351	2	9	2	no-XID	 ... 	 ... 	3/0	7.86e+37	 ... 	30.8	-4.56	 ... 	
34	IC10	 ... 	1	4	no-XID	 ... 	 ... 	3/0	5.34e+34	 ... 	1	-1.29	 ... 	
35	NGC4490	 ... 	 ... 	4	no-XID	 ... 	 ... 	3/0	1.61e+36	 ... 	1	-0.56	 ... 	
35	NGC4485	 ... 	 ... 	2	no-XID	 ... 	 ... 	3/0	2.65e+36	 ... 	1	-1.04	 ... 	
36	NGC4214	 ... 	3	11	no-XID	 ... 	 ... 	3/0	5.44e+35	 ... 	1	-0.69	 ... 	
37	IC342	1	1	5	CXOJ034648.554+680547.04	1	2	1/1	1.08e+39	1.08e+39	2277.91	88.2	h1	
38	NGC45	1	1	20	CXOJ001403.994-231055.42	3	2	3/2	2.65e+37	1.17e+37	12.70	3.9	d2	
39	NGC1068	1	5	14	CXOJ024240.793-000046.44	1	2	3/3	6.295e+41	1.80e+41	48760.12	971	h3	
40	NGC4472	1	4	2	CXOJ122946.762+080002.99	1	1	2/2	2.33e+40	6.02e+39	3950.21	93.3	q2	
40	NGC4467	1	1	2	CXOJ122930.206+075934.48	1	3	3/1	4.71e+38	2.72e+38	11.43	5.3	d1	
40	NGC4470	 ... 	1	 ... 	no-XID	 ... 	 ... 	1/0	2.30e+39	 ... 	52.4	-3.49	 ... 	
40	PGC41185	 ... 	 ... 	 ... 	no-XID	 ... 	 ... 	2/0	4.02e+36	 ... 	1	-0.31	 ... 	
40	PGC41258	 ... 	 ... 	 ... 	no-XID	 ... 	 ... 	1/0	4.52e+36	 ... 	2.0	-0.58	 ... 	
41	NGC4258	3	5	11	CXOJ121857.504+471814.36	1	2	3/3	1.35e+40	7.99e+39	3578.29	285	h3	
