Table 6
Ultraluminous X-ray Sources in Nearby Galaxies

Group	CXOJ^a	Pos.^b	Source^c	alpha^d	r_25^e	Dis.^f	V/D^g	L_Xmax^h	F_Xavg^i	F/F^j	sigma_max^k	C_max^l	SQH^m	Var/K-S^n	Notes^o	
No.		Err.	Name	(")		(Mpc)		(erg s^-1)	(cgs)							
2	CXOJ140229.904+542118.79	1	NGC5457-X4	6.219	0.46	6.855	6/6	3.16e+39	2.28e-13	5^+0.48_-0.42	271.634	2562.617	q2 h4	v:5	1ULX	
2	CXOJ140303.950+542734.63	1	NGC5457-X2	6.776	0.47	6.855	6/6	4.36e+39	5.77e-13	1.9^+0.084_-0.08	268.481	3146.814	h6	v:1	1ULX	
2	CXOJ140314.302+541806.23	1	NGC5457-X5	2.825	0.20	6.855	25/18	3.05e+39	1.30e-13	600.7^+9.8_-9.8	297.040	3870.985	d2 h16	v:5	1ULX	
2	CXOJ140332.381+542102.92	1	NGC5457-X3	2.900	0.22	6.855	25/21	3.82e+39	1.17e-13	778.2^+8.2_-8.2	639.966	9233.438	q6 s11 d1 h3	v:6	1ULX ULS	
2	CXOJ140414.196+542604.52	1	NGC5457-X1	10.357	0.76	6.855	7/7	4.58e+39	6.97e-13	2.1^+0.14_-0.13	201.227	3435.026	h7	v:4	1ULX	
4	CXOJ095532.952+690033.59	1	NGC3031-X3	3.441	0.31	3.42	17/17	3.47e+39	1.56e-12	2^+0.14_-0.13	694.748	9482.748	h17		1ULX	
4	CXOJ095753.314+690348.13	1.04	NGC3031-X1	12.490	1.66	3.42	2/2	5.25e+39	3.58e-12	1.1^+0.052_-0.05	292.351	1879.141	h2		2ULX	
5	CXOJ132938.618+582505.59	1	NGC5204-X1	0.291	0.19	4.3	13/13	9.81e+39	2.51e-12	4.5^+0.3_-0.28	640.539	9903.551	q2 h11	v:2	1ULX	
6	CXOJ033713.603-354349.22	1.01	NGC1389-X1	0.953	0.84	21.68	1/1	4.86e+39	8.62e-14	1	93.992	290.384	h1		1ULX	
6	CXOJ033805.186-352239.00	1	NGC1399-X7	6.494	1.95	19.95	1/1	3.12e+39	6.54e-14	1	34.319	159.455	h1		2ULX	
6	CXOJ033827.641-352648.59	1	NGC1399-X9	0.318	0.10	19.95	5/4	2.69e+39	4.97e-14	1.7^+1_-0.5	34.344	441.916	q1 h3		1ULX	
6	CXOJ033829.328-352706.84	1	NGC1399-X10	0.162	0.05	19.95	5/1	2.67e+39	5.59e-14	2.6^+0.25_-0.25	14.918	181.727	h1		1ULX	
6	CXOJ033829.666-352504.62	1	NGC1399-X11	1.894	0.55	19.95	5/3	2.14e+39	3.30e-14	3.3^+0.41_-0.41	29.209	203.958	h3		1ULX	
6	CXOJ033831.740-353058.90	1	NGC1399-X8	4.054	1.17	19.95	6/5	2.98e+39	2.35e-14	11.9^+2.7_-2.7	32.727	139.171	q1 h4	v:1	2ULX	
6	CXOJ033831.819-352604.02	1	NGC1399-X6	1.067	0.31	19.95	5/5	3.36e+39	4.92e-14	1.9^+0.29_-0.24	72.609	562.270	q3 h2	v:1	1ULX	
