Table 2
Groups of Surveyed Galaxies and ACIS Observations

Group	Galaxies	Number	Exposure	ObsID	Observation	OBSMJD	Exposure	Chips	bkgd^a	Number	
No.		of Obs.	Total (s)		Date		(s)	Used		of Sources	
1	NGC598	28	1572990	787	2000 Jan 11	51554.024	9657	6 7	0.03	5	
				1730	2000 Jul 12	51737.354	50063	0 1 2 3	1	73	
				786	2000 Aug 30	51786.010	46854	6 7	1	46	
				2023	2001 Jul 6	52096.963	89942	0 1 2 3	2	116	
				6378	2005 Sep 21	53634.011	111647	0 1 2 3	3	124	
				6380	2005 Sep 23	53636.839	90515	0 1 2 3	3	122	
				7170	2005 Sep 26	53639.275	41487	0 1 2 3	1	87	
				7171	2005 Sep 29	53642.191	38175	0 1 2 3	1	76	
				6384	2005 Oct 1	53644.921	22451	0 1 2 3	0.7	57	
				6386	2005 Oct 31	53674.388	15049	0 1 2 3	0.5	38	
				7196	2005 Nov 2	53676.331	23049	0 1 2 3	0.8	57	
				7197	2005 Nov 3	53677.078	12812	0 1 2 3	0.4	35	
				7198	2005 Nov 5	53679.333	22047	0 1 2 3	0.8	49	
				7199	2005 Nov 6	53680.090	15011	0 1 2 3	0.5	33	
				7208	2005 Nov 21	53695.995	11654	0 1 2 3	0.4	46	
				6382	2005 Nov 23	53697.543	73247	0 1 2 3	2	115	
				7226	2005 Nov 26	53700.202	25171	0 1 2 3	0.8	64	
				6376	2006 Mar 3	53797.886	94265	0 1 2 3	4	130	
				6388	2006 Jun 9	53895.957	98940	0 1 2 3	4	121	
				6383	2006 Jun 15	53901.266	99107	0 1 2 3	4	137	
				6387	2006 Jun 26	53912.075	78268	0 1 2 3	3	136	
				7344	2006 Jul 1	53917.079	21724	0 1 2 3	0.9	72	
				6379	2006 Sep 4	53982.935	54255	0 1 2 3	2	95	
				7402	2006 Sep 7	53985.603	45161	0 1 2 3	2	86	
				6381	2006 Sep 12	53990.388	100169	0 1 2 3	4	105	
				6385	2006 Sep 18	53996.165	91148	0 1 2 3	4	128	
				6377	2006 Sep 25	54003.738	94073	0 1 2 3	4	120	
				6389	2006 Nov 28	54067.546	97049	0 1 2 3	4	138	
	
2	NGC5457	26	1078280	934	2000 Mar 26	51629.015	99504	6 7	3	142	
				2779	2002 Oct 31	52578.728	14460	6 7	0.5	28	
				4731	2004 Jan 19	53023.248	56963	6 7	2	81	
				5296	2004 Jan 21	53025.444	3231	6 7	0.1	13	
				5297	2004 Jan 24	53028.065	21964	6 7	1	46	
				5300	2004 Mar 7	53071.395	52761	6 7	2	84	
				5309	2004 Mar 14	53078.070	71679	6 7	2	99	
				4732	2004 Mar 19	53083.344	70691	6 7	2	99	
				5322	2004 May 3	53128.323	65529	6 7	2	91	
				4733	2004 May 7	53132.562	25132	6 7	2	49	
				5323	2004 May 9	53134.133	43161	6 7	1	66	
				5337	2004 Jul 5	53191.780	10070	6 7	0.4	28	
				5338	2004 Jul 6	53192.561	28934	6 7	1	67	
				5339	2004 Jul 7	53193.558	14505	6 7	0.6	38	
				5340	2004 Jul 8	53194.464	55116	6 7	2	86	
				4734	2004 Jul 11	53197.072	35932	6 7	1	66	
				6114	2004 Sep 5	53253.767	67052	6 7	3	81	
				6115	2004 Sep 8	53256.762	36217	6 7	1	69	
				6118	2004 Sep 11	53259.636	11606	6 7	0.4	34	
				4735	2004 Sep 12	53260.541	29148	6 7	1	57	
				4736	2004 Nov 1	53310.780	78342	6 7	3	95	
				6152	2004 Nov 7	53316.283	44656	6 7	2	60	
				6170	2004 Dec 22	53361.054	48563	6 7	2	57	
				6175	2004 Dec 24	53363.693	41177	6 7	1	61	
				6169	2004 Dec 30	53369.091	29753	6 7	1	50	
				4737	2005 Jan 1	53371.605	22134	6 7	0.8	38	
	
3	PGC3589	21	127341	4698	2004 Apr 26	53121.357	6137	6 7	0.2	19	
				4699	2004 May 7	53132.195	6355	6 7	0.2	17	
				4700	2004 May 17	53142.436	6182	6 7	0.2	14	
				4701	2004 May 30	53155.929	6147	6 7	0.2	14	
				4702	2004 Jun 12	53168.598	5958	6 7	0.2	19	
				4703	2004 Jun 27	53183.840	5955	6 7	0.2	11	
				4704	2004 Jul 12	53198.048	5990	6 7	0.2	13	
				4705	2004 Jul 24	53210.328	5907	6 7	0.3	16	
				4706	2004 Aug 4	53221.465	6153	6 7	0.2	16	
				4707	2004 Aug 17	53234.204	5958	6 7	0.2	17	
				4708	2004 Aug 31	53248.241	5955	6 7	0.2	16	
				4709	2004 Sep 16	53264.159	6169	6 7	0.2	16	
				4710	2004 Oct 1	53279.453	5958	6 7	0.2	16	
				4711	2004 Oct 11	53289.607	5955	6 7	0.2	16	
				4712	2004 Oct 24	53302.065	6159	6 7	0.3	15	
				4713	2004 Nov 5	53314.104	6150	6 7	0.2	14	
				4714	2004 Nov 20	53329.784	6121	6 7	0.2	21	
				4715	2004 Dec 5	53344.279	5753	6 7	0.2	14	
				4716	2004 Dec 19	53358.367	6092	6 7	0.2	16	
				4717	2004 Dec 29	53368.992	6150	6 7	0.2	22	
				4718	2005 Jan 10	53380.173	6137	6 7	0.2	21	
	
4	NGC3031	19	241344	390	2000 Mar 21	51624.030	2409	6 7	0.08	24	
	PGC28757			735	2000 May 7	51671.231	50560	6 7	2	121	
				4751	2004 Feb 7	53042.455	5077	6 7	0.1	7	
				4752	2004 Mar 25	53089.419	5151	6 7	0.2	8	
				5935	2005 May 26	53516.158	11119	6 7	0.4	66	
				5936	2005 May 28	53518.830	11551	6 7	1	61	
				5937	2005 Jun 1	53522.356	12159	6 7	0.4	64	
				5938	2005 Jun 3	53524.951	11958	6 7	0.4	66	
				5939	2005 Jun 6	53527.637	11958	6 7	0.4	65	
				5940	2005 Jun 9	53530.288	12127	6 7	0.5	68	
				5941	2005 Jun 11	53532.891	11958	6 7	0.5	64	
				5942	2005 Jun 15	53536.062	12105	6 7	0.4	67	
				5943	2005 Jun 18	53539.482	12166	6 7	0.5	65	
				5944	2005 Jun 21	53542.223	11958	6 7	0.4	64	
				5945	2005 Jun 24	53545.254	11724	6 7	0.5	57	
				5946	2005 Jun 26	53547.905	12172	6 7	0.6	66	
				5947	2005 Jun 29	53550.566	10835	6 7	0.9	61	
				5948	2005 Jul 3	53554.066	12182	6 7	0.5	65	
				5949	2005 Jul 6	53557.327	12175	6 7	0.5	66	
	
5	NGC5204	13	120019	2028	2001 Jan 9	51918.956	10145	6 7	0.09	6	
				2029	2001 May 2	52031.795	9547	6 7	0.1	4	
				3933	2003 Aug 6	52857.249	48937	6 7	0.4	11	
				3934	2003 Aug 9	52860.400	5015	6 7	0.06	5	
				3935	2003 Aug 11	52862.799	4764	6 7	0.06	3	
				3936	2003 Aug 14	52865.691	4829	6 7	0.05	1	
				3937	2003 Aug 17	52868.326	4906	6 7	0.05	1	
				3938	2003 Aug 19	52870.978	5450	6 7	0.06	3	
				3939	2003 Aug 27	52878.721	5443	6 7	0.06	6	
				3940	2003 Sep 5	52887.675	5125	6 7	0.05	4	
				3941	2003 Sep 14	52896.487	5163	6 7	0.05	2	
				3942	2003 Sep 23	52905.398	5512	6 7	0.09	3	
				3943	2003 Oct 3	52915.980	5183	6 7	0.06	3	
	
6	NGC1399	11	430758	320	1999 Oct 18	51469.567	3510	0 1 2 3	0.6	21	
	NGC1389			624	1999 Dec 15	51527.005	44166	6 7	2	68	
	NGC1396			319	2000 Jan 18	51561.355	56659	6 7	7	182	
	NGC1404			239	2000 Jan 19	51562.028	3644	0 1 2 3	0.2	28	
	PGC13449			2942	2003 Feb 13	52683.001	29619	6 7	1	52	
	PGC13452			4169	2003 May 21	52780.505	45886	0 1 2 3	2	85	
				4171	2003 May 23	52782.618	45545	0 1 2 3	2	63	
				4172	2003 May 26	52785.291	45092	0 1 2 3	3	165	
				4174	2003 May 28	52787.924	46273	0 1 2 3	10	148	
				4175	2003 May 29	52788.480	63728	0 1 2 3	7	61	
				4176	2003 May 31	52790.553	46636	0 1 2 3	3	108	
	
7	NGC5128	10	737657	316	1999 Dec 5	51517.901	36182	0 1 2 3	1	149	
				962	2000 May 17	51681.957	36972	0 1 2 3	1	162	
				2978	2002 Sep 3	52520.114	45182	6 7	3	134	
				3965	2003 Sep 14	52896.573	50173	6 7	3	139	
				7797	2007 Mar 22	54181.376	98170	0 1 2 3	5	257	
				7798	2007 Mar 27	54186.413	92042	0 1 2 3	4	215	
				7799	2007 Mar 30	54189.107	96037	0 1 2 3	4	217	
				7800	2007 Apr 17	54207.626	92045	0 1 2 3	4	264	
				8489	2007 May 8	54228.780	95179	0 1 2 3	4	249	
				8490	2007 May 30	54250.094	95675	0 1 2 3	4	263	
	
8	NGC3034	9	238482	361	1999 Sep 20	51441.474	33680	0 1 2 3	1	88	
				1302	1999 Sep 20	51441.883	15708	0 1 2 3	0.5	68	
				378	1999 Dec 30	51542.078	4169	0 1 2 3	0.1	26	
				379	2000 Mar 11	51614.832	9046	0 1 2 3	0.3	46	
				380	2000 May 7	51671.839	5065	0 1 2 3	0.1	30	
				2933	2002 Jun 18	52443.784	18255	6 7	0.6	47	
				6097	2005 Feb 4	53405.982	58188	7	17	11	
				5644	2005 Aug 17	53599.038	75131	7	20	14	
				6361	2005 Aug 18	53600.664	19240	7	6	34	
	
9	NGC4278	7	478398	398	2000 Apr 20	51654.614	1544	6 7	0.05	5	
	NGC4283			4741	2005 Feb 3	53404.501	37942	6 7	1	104	
				7077	2006 Mar 16	53810.591	111718	6 7	4	169	
				7078	2006 Jul 25	53941.422	52092	6 7	2	102	
				7079	2006 Oct 24	54032.671	106419	6 7	4	143	
				7081	2007 Feb 20	54151.670	112143	6 7	5	156	
				7080	2007 Apr 20	54210.529	56540	6 7	2	115	
	
10	NGC4038	7	425177	315	1999 Dec 1	51513.227	73171	6 7	3	93	
